ID	language	Analysis_Source	Name (extracted)	Citing Article	Cited Article	Features	Homepage	Note	Label	Details	modality	use
767	Cameroon Pidgin Corpus	citing_context	APiCS	https://doi.org/10.1177/13670069211019126 (2021)	https://doi.org/10.5944/ENDOXA.37.2016.16613 (2016)	The APiCS dataset is used to analyze the presence of split systems in English- and Portuguese-lexifier contact languages of West Africa and the Americas. It supports research on linguistic structures and patterns in creole languages, employing a comparative approach to demonstrate the presence of these systems. This dataset enables detailed linguistic analysis by providing structured data on various contact languages.		not a dataset	3	not a dataset	Written	Linguistic Analysis
769	Cameroon Pidgin Corpus	citing_context	request strategy types in cameroon Pidgin English	https://doi.org/10.30564/JLER.V1I1.226 (2019)	https://doi.org/10.1093/APPLIN/5.3.196 (1984)	The dataset 'request strategy types in Cameroon Pidgin English' is used to analyze the distribution and frequency of various request strategies, such as explicit performative and locution derivable, within the language. Containing 38 instances, the dataset supports research focused on understanding the linguistic mechanisms and social functions of requests in Cameroon Pidgin English. This analysis helps in identifying the predominant types of request strategies and their contextual usage, providing insights into the communicative norms and pragmatic features of the language.		not a dataset	3	not a dataset	Written	Pragmatics/Request Analysis
834	Central Kurdish Corpus	citing_context	Kurdish BLARK	https://doi.org/10.48550/arXiv.2501.14528 (2025)	https://doi.org/10.1007/s10579-017-9400-0 (2017)	The Kurdish BLARK dataset is used to provide foundational resources for Kurdish Natural Language Processing (NLP), specifically supporting tokenization for both Sorani and Kurmanji dialects. This enables the development of language models, enhancing the processing and understanding of the Kurdish language in computational linguistics.	https://kurdishblark.github.io/	not a dataset	3	not a dataset	Written	Parsing and Tagging
830	Central Kurdish Corpus	cited_context	Dicto	https://doi.org/10.1109/AICCSA.2013.6616470 (2013)	https://doi.org/10.1007/BFb0034731 (1996)	The Dicto dataset is used for cross-language information retrieval, specifically to automatically translate query terms from English to Sorani, a dialect of Central Kurdish. This enables researchers to enhance the accuracy and efficiency of information retrieval systems when dealing with multilingual data. The dataset's focus on precise translation supports the development of more effective cross-language search capabilities.		not a dataset	3	not a dataset	Written	Information Retrieval
837	Central Kurdish Corpus	citing_context	Kurdish Language Processing Toolkit (KLPT)	https://doi.org/10.37652/juaps.2022.176501 (2022)	https://doi.org/10.1177/0165551516683617 (2018)	The Kurdish Language Processing Toolkit (KLPT) is used for text pre-processing tasks such as tokenization, stemming, transliteration, and lemmatization in Central Kurdish language processing. These functions enhance the toolkit's capabilities for linguistic analysis, enabling researchers to conduct detailed linguistic studies and improve the accuracy of language processing systems for Central Kurdish.	https://github.com/sinaahmadi/klpt	not a dataset	3	not a dataset	Written	Parsing and Tagging
1976	Dholuo Corpus	cited_context	Crúbadán project archive	https://www.semanticscholar.org/paper/ead82aa52dd095cede73531344a382b2b867c79b (2010)	https://www.semanticscholar.org/paper/ef9f81a662aa9618173d033e95d46d74e14aeafc (2007)	The Crúbadán project archive is used to access a small web-mined corpus for the Dholuo language, supporting research on under-resourced languages. This dataset enables researchers to study linguistic features and develop computational tools for languages with limited digital resources. The corpus provides essential data for analyzing and preserving under-documented languages.	https://kevinscannell.com/files/wac3.pdf	not a dataset	3	not a dataset	Written	Linguistic Research
2140	Eastern Punjabi Corpus	citing_context	FIRE dataset	https://doi.org/10.48550/arXiv.2312.09508 (2023)	https://www.semanticscholar.org/paper/43f2ad297941db230c089ba353efc3f281ab678c (2020)	The FIRE dataset is mentioned in research citations but lacks detailed descriptions of its usage, methodology, or specific research applications. There is no evidence to suggest it is used for Eastern Punjabi language research or any other specific area. Its role and impact in research are not clearly defined based on the provided information.	https://link.springer.com/chapter/10.1007/978-3-642-40087-2_1	not a dataset	3	not a dataset		
4283	Ghanaian Pidgin English Corpus	citing_context	Atlas of Pidgin and Creole Language Structures (APiCS)	https://doi.org/10.1177/13670069211019126 (2021)	https://doi.org/10.5944/ENDOXA.37.2016.16613 (2016)	The Atlas of Pidgin and Creole Language Structures (APiCS) is used to analyze split systems in English- and Portuguese-lexifier contact languages of West Africa and the Americas. It provides structured linguistic data for comparative studies, enabling researchers to demonstrate the presence and distribution of specific linguistic structures across these regions. This dataset facilitates detailed analyses of linguistic features and their variations, supporting research into the structural complexities of pidgin and creole languages.	https://apics-online.info/	not a dataset	3	not a dataset	Written	Lexicon/Dictionary
4285	Ghanaian Pidgin English Corpus	citing_context	GhaP	https://doi.org/10.1177/13670069211019126 (2021)	https://www.semanticscholar.org/paper/3ee12dec281cc490e6b626076a2fc8402a7dcd24 (1958)	The GhaP dataset is used to analyze the polysemy of 'make-cop.nfact' in Ghanaian Pidgin English, comparing its usage with other languages in the corpus. This involves examining linguistic data to understand semantic variations and cross-linguistic similarities, providing insights into the structure and function of Ghanaian Pidgin English.		not a dataset	3	not a dataset	Written	Linguistic Analysis
4286	Ghanaian Pidgin English Corpus	cited_context	GloVe	https://www.semanticscholar.org/paper/880c3a51450b9a4c9f3c0de44352b2ae0f8a3e63 (2019)	https://doi.org/10.3115/v1/D14-1162 (2014)	The GloVe dataset is used to initialize word embeddings for Pidgin, providing global context to word vectors before fine-tuning on a Pidgin corpus. This approach helps in enhancing the semantic richness of the embeddings, which are then utilized in natural language processing tasks specific to the Pidgin language.		not a dataset	3	not a dataset	Written	Parsing and Tagging
4479	Hausa Corpus	citing_context	HausaNLP Catalogue	https://doi.org/10.48550/arXiv.2505.14311 (2025)	https://doi.org/10.58414/scientifictemper.2024.15.3.27 (2024)	The HausaNLP Catalogue serves as a centralized repository to enhance accessibility and advance Hausa NLP research. It compiles datasets, tools, and research papers, facilitating the development and evaluation of NLP models and methodologies specific to the Hausa language. This resource supports researchers in addressing challenges and advancing the state-of-the-art in Hausa language processing.	https://catalog.hausanlp.org/	not a dataset	3	not a dataset		Lexicon/Dictionary
5539	Indonesian Corpus	citing_context	ALFFA	https://doi.org/10.1109/ASRU57964.2023.10389730 (2023)	https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020)	The ALFFA dataset is utilized for Automatic Speech Recognition (ASR) and Text-to-Speech (TTS) tasks, providing multilingual speech corpora, particularly for under-resourced languages. It offers diverse, crowd-sourced, and high-quality speech data, enabling the training and evaluation of ASR and TTS models. The dataset is also applied to evaluate universal speech representations in few-shot learning scenarios, focusing on low-resource languages.		not a dataset	3	not a dataset	Speech	Speech Recognition/Understanding
5602	Indonesian Corpus	citing_context	Gojali’s automatic summarization test dataset	https://doi.org/10.1109/ICAICTA59291.2023.10390436 (2023)		The Gojali’s automatic summarization test dataset is used to evaluate the performance of Gojali’s automatic summarization system, specifically focusing on summarization accuracy and coherence. It consists of 736 sentences and is employed to assess how well the system generates summaries that are both accurate and coherent. This dataset enables researchers to systematically test and improve the summarization capabilities of the system.		not a dataset	3	not a dataset	Written	Summarization
5724	Indonesian Corpus	citing_context	Katadata Insight Center 2020 survey	https://doi.org/10.1109/ICISS59129.2023.10291599 (2023)		The Katadata Insight Center 2020 survey is used to analyze the prevalence and recognition of online hoaxes among Indonesian internet users. It provides quantitative data on user awareness and behavior, enabling researchers to assess how effectively users identify and respond to misinformation. This dataset supports studies focusing on digital literacy and the impact of online hoaxes in Indonesia.		not a dataset	3	not a dataset	Written	Information Retrieval
5548	Indonesian Corpus	cited_context	big dictionary of Indonesian	https://doi.org/10.1109/ICOMITEE.2019.8920923 (2019)	https://www.semanticscholar.org/paper/8ed9c7d54fd3f0b1ce3815b2eca82147b771ca8f (2003)	The 'big dictionary of Indonesian' dataset is used for sentiment analysis and information retrieval in Indonesian. It provides 3,587 entries for positive and negative word references and 28,533 entries for root word data. This dataset supports research in understanding and processing Indonesian text by enabling accurate sentiment classification and enhancing information retrieval systems.		not a dataset	3	it is a dictionary	Written	Sentiment Analysis
5681	Indonesian Corpus	cited_context	Indonesian summarisation dataset	https://doi.org/10.1080/09540091.2021.1937942 (2021)	https://aclanthology.org/L16-1129 (2016)	The Indonesian summarisation dataset is used to advance research in Indonesian text summarization by providing a publicly accessible resource. It addresses the limitation of previous datasets being proprietary, offering a chat dataset with two summary versions. This enables broader access and development in the field, facilitating the creation and evaluation of summarization models.		not a dataset	3	not a dataset	Written	Summarization
5767	Indonesian Corpus	citing_context	NusaCatalogue	https://doi.org/10.48550/arXiv.2207.10524 (2022)	https://www.semanticscholar.org/paper/96b8611c3e8d887362df292522debe2c3cfa1def (2021)	The NusaCatalogue dataset serves as a public datasheet catalogue website, listing and organizing datasets collected in NusaCrowd. It provides a comprehensive resource for researchers and practitioners, focusing on the Indonesian language. This dataset supports documentation and accessibility, facilitating research in NLP and linguistics by offering a centralized and organized collection of relevant datasets.	https://indonlp.github.io/nusa-catalogue/	not a dataset	3	not a dataset		Lexicon/Dictionary
6816	Levantine Arabic Corpus	cited_context	Iraqi and Levantine speech transcripts	https://www.semanticscholar.org/paper/ebdcfcd11c8da6e20e4486b65bed5d23f931dc63 (2012)	https://www.semanticscholar.org/paper/af860938276d3a8a60b9eaa6c701f7bdc29537d8 (2006)	The Iraqi and Levantine speech transcripts dataset is used to train and evaluate a statistical morphological segmenter, focusing on improving performance over rule-based methods with limited training data. This dataset enables researchers to develop more accurate and efficient natural language processing tools for Arabic dialects, specifically addressing the challenges of morphological segmentation in these languages.		not a dataset	3	not a dataset	Speech	Morphological Segmentation
7189	Marathi Corpus	cited_context	Health and Tourism domain sense-tagged corpus of Hindi and Marathi languages	https://www.semanticscholar.org/paper/8c9ff9dcdcec41f3c1f967b9ca63074ba6381a58	https://www.semanticscholar.org/paper/887d8d4bae488941d9a3a26ec39122abc84fad79 (2010)	The 'Health and Tourism domain sense-tagged corpus of Hindi and Marathi languages' is used for studying sense tagging in these domains, focusing on linguistic analysis and annotation for both Hindi and Marathi. It also serves as a raw, untagged resource for Hindi, supporting natural language processing tasks. This dual use highlights its versatility in enhancing understanding and processing of domain-specific language data.	http://sanskrit.jnu.ac.in/ilci/	not a dataset	3	not a dataset	Written	Linguistic Analysis/Annotation
7209	Marathi Corpus	citing_context	iNLTK headlines	https://doi.org/10.1007/978-3-031-58495-4_4 (2024)	https://doi.org/10.18653/v1/2020.nlposs-1.10 (2020)	The iNLTK headlines dataset is used for classification tasks, including hate speech detection and sentiment analysis, specifically focusing on Marathi text from news articles and various sources. It enables researchers to develop and evaluate models that can accurately classify and identify specific types of content in Marathi language datasets.	https://github.com/goru001/inltk	not a dataset	3	not a dataset	Written	Sentiment Analysis
7214	Marathi Corpus	cited_context | citing_context	L3Cube-MahaNLP	https://doi.org/10.48550/arXiv.2306.14030 (2023), https://doi.org/10.48550/arXiv.2211.11418 (2022), https://doi.org/10.48550/arXiv.2506.00863 (2025)	https://doi.org/10.48550/arXiv.2203.13778 (2022), https://doi.org/10.1007/978-981-19-6088-8_56 (2022)	The L3Cube-MahaNLP dataset is used for various NLP tasks in the Marathi language, including hate speech detection, named entity recognition, and multi-domain sentiment analysis. It supports the training and evaluation of language models, particularly transformer models, and provides a comprehensive collection of datasets, models, and libraries. This enables researchers to address classification and sentiment analysis tasks, as well as compare monolingual and multilingual model performance.; The L3Cube-MahaNLP dataset is used to develop and evaluate monolingual models for Marathi, focusing on named entity recognition tasks. It enables researchers to compare the performance of these monolingual models against multilingual models, providing insights into the effectiveness of language-specific approaches in natural language processing.	https://github.com/l3cube-pune/MarathiNLP	not a dataset	3	not a dataset	Written	Named Entity Recognition
7219	Marathi Corpus	cited_context | citing_context	MahaCorpus	https://doi.org/10.48550/arXiv.2205.14728 (2022)	https://www.semanticscholar.org/paper/7ebbb9f14a08fda8d76b3f299254c2b0d2c59d9a (2022)	The MahaCorpus dataset, comprising 24.8M sentences and 289M tokens, is used to develop and train Marathi BERT language models and support other NLP tasks. It provides a large-scale monolingual corpus essential for language modeling, enabling researchers to enhance the performance and accuracy of Marathi language processing systems through robust training and evaluation.; The MahaCorpus dataset, comprising 24.8M sentences and 289M tokens, is used to develop and evaluate Marathi BERT language models. It serves as a large monolingual corpus, supporting research in Marathi language processing and modeling. This dataset enables the training and evaluation of advanced language models, enhancing their performance and applicability in the Marathi language.	https://github.com/l3cube-pune/MarathiNLP	not a dataset	3	not a dataset	Written	Language Modeling
7347	Nepali Corpus	cited_context	Nepali OSCAR	https://doi.org/10.1109/ASONAM49781.2020.9381292 (2020)	https://www.semanticscholar.org/paper/92343cecdc990380de362b969eec60081959f507 (2019)	The Nepali OSCAR dataset is primarily used to train multilingual embeddings, enhancing representation in low-resource settings like Nepali. It complements Nepali data with a large corpus of English text, extracted from 169,899 recent articles, which aids in training and evaluation. This approach improves the quality and robustness of multilingual models, particularly for underrepresented languages.	https://language-resources-nepal.github.io/data	not a dataset	3	not a dataset	Written	Embedding Training
7403	Northeastern Thai Corpus	citing_context	Northeastern (NE) dialect dictionary	https://doi.org/10.17507/tpls.1411.05 (2024)	https://doi.org/10.1017/9781787445086.003 (2019)	The Northeastern (NE) dialect dictionary is used to document sound changes in Pali and Sanskrit loanwords within the Northeastern Thai dialect. This linguistic resource facilitates the study of dialectal variations and historical borrowings, enabling researchers to analyze the evolution and integration of these loanwords into the dialect. The dataset provides a structured reference for linguistic analysis, supporting research into the phonological and lexical aspects of the Northeastern Thai dialect.		not a dataset	3	not a dataset	Written	Lexicon/Dictionary
7425	Northern Sotho Corpus	citing_context	Northern Sotho dictionary (Ziervogel and Mokgokong 1985)	https://doi.org/10.5788/24-1-1254 (2014)		The Northern Sotho dictionary (Ziervogel and Mokgokong 1985) is used to create a structured data collection for the Northern Sotho language. Researchers employ OCR technology to digitize and transform the printed dictionary into a digital format, enabling easier access and manipulation of linguistic data. This process facilitates the study and preservation of the Northern Sotho language by providing a digital resource for linguistic analysis and educational purposes.		not a dataset	3	not a dataset		Lexicon/Dictionary
7427	Northern Sotho Corpus	citing_context	Oxford bilingual school dictionary: Northern Sotho and English	https://www.semanticscholar.org/paper/3a0cd6f8f197ace84ecf4652448db8dc959621cf (2016)		The Oxford bilingual school dictionary: Northern Sotho and English is used to analyze Northern Sotho consonant clusters, identifying additional possible clusters not previously documented. The dictionary serves as a comprehensive lexical resource, enabling detailed linguistic research through its extensive vocabulary and phonetic information. This dataset facilitates the exploration of phonological patterns and contributes to the understanding of Northern Sotho's phonetic structure.		not a dataset	3	not a dataset	Written	Lexicon/Dictionary
7428	Northern Sotho Corpus	citing_context	PPVT–4 Form A	https://doi.org/10.1080/02702711.2023.2276444 (2023)	https://doi.org/10.4102/RW.V6I1.77 (2015)	The PPVT–4 Form A dataset is used to assess receptive vocabulary in Northern Sotho-English bilingual children. Researchers translate the English version into Northern Sotho to evaluate vocabulary comprehension in both languages, focusing on the linguistic abilities and cognitive development of bilingual children. This translation approach ensures cultural and linguistic relevance, enabling accurate assessment of vocabulary skills in a bilingual context.		not a dataset	3	not a dataset	Written	Lexicon/Dictionary
7429	Northern Sotho Corpus	cited_context	PUKU 2	https://doi.org/10.1093/IJL/ECP009 (2009)	https://doi.org/10.1080/02572117.2000.10587438 (2000)	The PUKU 2 dataset is used to apply rule-based methods for information retrieval in the Northern Sotho language. It specifically aims to reduce redundancy and support inexperienced learners by enhancing the accuracy and efficiency of information retrieval systems. This dataset enables researchers to develop and test algorithms that improve the educational experience for Northern Sotho speakers.		not a dataset	3	not a dataset	Written	Information Retrieval
10229	Tunisian Arabic Corpus	cited_context | citing_context	TUNICO	https://www.semanticscholar.org/paper/1ddde28f257127f41a816722511a8dedf317d317 (2023)	https://doi.org/10.1017/S1351324922000444 (2022)	The TUNICO dataset is used for various linguistic research tasks in Tunisian Arabic, including sentiment analysis, linguistic dynamics studies, and lexicographic compilation. It supports manual annotation of social media comments, corpus-based analysis, and the development of language encoding systems using both Arabic and Latin scripts. The dataset provides a comprehensive corpus and searchable transcriptions, enabling detailed studies of language structure, usage, and historical evolution.; The TUNICO dataset is used for sentiment analysis and linguistic studies in Tunisian Arabic. It involves manually annotated Facebook comments to evaluate word embedding models and corpus-based analysis to investigate language patterns and linguistic dynamics in the Greater Tunis Area. This dataset enables researchers to explore specific linguistic structures and usage, providing insights into the nuances of Tunisian Arabic.	https://tunico.acdh.oeaw.ac.at/project.html	not a dataset	3	not a dataset	Written	Sentiment Analysis
10215	Tunisian Arabic Corpus	citing_context	graphemic lexicon of 88k words	https://doi.org/10.48550/arXiv.2205.01987 (2022)	https://doi.org/10.21437/ICSLP.2002-303 (2002)	The graphemic lexicon of 88k words is used to build a 3-gram language model for Tunisian Arabic, focusing on graphemic representations. The dataset employs smoothing techniques to enhance model accuracy. This research specifically addresses the creation of a robust language model for Tunisian Arabic, leveraging the extensive word list to improve graphemic representation and model performance.		not a dataset	3	not a dataset	Written	Language Modeling
10230	Tunisian Arabic Corpus	citing_context	Tunisian Arabic CODA	https://www.semanticscholar.org/paper/787b37843e0629f936a4b9fe7803321ad12fbacc (2014)	https://www.semanticscholar.org/paper/e8551be410daf4525a26d87f3c867b6db6955076 (2014)	The Tunisian Arabic CODA dataset is used to standardize a web corpus by applying a conventional orthography for Tunisian Arabic, ensuring consistency in writing standards. This process involves methodically aligning diverse textual data to a unified orthographic system, addressing research questions related to linguistic standardization and digital language resources. The dataset's focus on orthographic consistency enables researchers to create more reliable and standardized corpora for further linguistic analysis and applications.		not a dataset	3	not a dataset	Written	Linguistic Standardization
10903	Uyghur Corpus	cited_context	DARPA LORELEI corpus	https://doi.org/10.18653/v1/D19-1143 (2019)	https://doi.org/10.1007/s10590-017-9212-4 (2018)	The DARPA LORELEI corpus is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or applications. Therefore, based on the provided evidence, it cannot be accurately described how this dataset is used in research.	https://www.darpa.mil/research/programs/low-resource-languages-for-emergent-incidents	not a dataset	3	not a dataset		
5609	Indonesian Corpus	citing_context	Handling Imbalanced Dataset on Hate Speech Detection in Indonesian Online News Comments	https://doi.org/10.1109/SIML65326.2025.11081166 (2025)	https://doi.org/10.1109/ICoICT55009.2022.9914883 (2022)	The dataset 'Handling Imbalanced Dataset on Hate Speech Detection in Indonesian Online News Comments' is used to address the imbalance in hate speech detection, particularly focusing on underrepresented hate speech data in Indonesian online news comments. Researchers employ methodologies aimed at improving the detection of minority classes, enhancing the model's ability to identify hate speech in imbalanced datasets. This enables more accurate and fair hate speech detection in online platforms, contributing to safer digital environments.		not a dataset	3	not dataset	Written	Sentiment Analysis
5610	Indonesian Corpus	citing_context	hashtag distribution dataset	https://doi.org/10.48550/arXiv.2310.11258 (2023)	https://www.semanticscholar.org/paper/e705a87b501e0d6f50c43b1d042cc1ef7bf29de3 (2021)	The hashtag distribution dataset is used to construct a sentiment classification task, focusing on the distribution of hashtags to understand their role in sentiment analysis. Researchers employ this dataset to analyze how hashtags influence sentiment, using methods that examine the frequency and context of hashtag usage. This enables insights into the nuanced ways hashtags shape public opinion and emotional content in social media.		not a dataset	3	not dataset	Written	Sentiment Analysis
5802	Indonesian Corpus	citing_context	Sastrawi stopword list	https://doi.org/10.34148/teknika.v14i1.1207 (2025)	https://doi.org/10.17977/um018v3i22020p106-111 (2020)	The Sastrawi stopword list is used to filter out common Indonesian stop words in text processing, which enhances the accuracy of natural language analysis. This dataset is employed in methodologies that require cleaning and preprocessing of Indonesian text data, improving the quality and relevance of subsequent analyses. It is particularly useful in research focusing on natural language processing tasks, such as sentiment analysis, topic modeling, and text classification, where removing stop words is crucial for reducing noise and improving model performance.		not a dataset	3	not dataset	Written	Preprocessing
5813	Indonesian Corpus	citing_context	Spoken Wikipedia Corpus (swc)	https://doi.org/10.1109/ASRU57964.2023.10389730 (2023)	https://doi.org/10.18653/v1/2021.eacl-main.96 (2021)	The Spoken Wikipedia Corpus (swc) is used for Text-to-Speech (TTS) tasks, providing spoken versions of Wikipedia articles in multiple languages. Researchers use this dataset to train and evaluate TTS systems, leveraging its multilingual content to enhance system performance and robustness across different languages. The dataset's extensive and diverse text corpus enables the development of more natural and accurate speech synthesis models.	https://dl.acm.org/doi/abs/10.1007/s10579-017-9410-y	not a dataset	3	not dataset	Speech	Text-to-Speech
5815	Indonesian Corpus	cited_context	Indonesian Stemmer	https://doi.org/10.11591/eei.v12i2.4529 (2023)	https://www.semanticscholar.org/paper/8ed9c7d54fd3f0b1ce3815b2eca82147b771ca8f (2003)	The dataset is used to study the impact of stemming on information retrieval in Indonesian, specifically focusing on the effectiveness of the Porter Stemmer algorithm. Research employs this dataset to evaluate how stemming improves search accuracy and efficiency, addressing questions related to the performance and applicability of the Porter Stemmer in the Indonesian language context.		not a dataset	3	not dataset	Written	Information Retrieval
9646	Swahili Corpus	citing_context	D Swatok	https://doi.org/10.1109/BigComp60711.2024.00067 (2024)	https://doi.org/10.18653/v1/2022.naacl-main.23 (2022)	The D Swatok dataset is used for tokenizer training in the SwahBERT project, focusing on the Swahili language. It is compiled from news websites, Wikipedia, and forums, providing a diverse corpus for enhancing the tokenizer's performance. This dataset enables researchers to improve the accuracy and efficiency of natural language processing tasks specific to Swahili.		not a dataset	3	this is not a dataset	Written	Parsing and Tagging
10206	Tiv Corpus	citing_context	Icighan Bibilo (2007)	https://doi.org/10.34256/ijll2111 (2021)		The Icighan Bibilo (2007) dataset is used to document and analyze graphological and lexical changes in the Tiv language, focusing on phonetic and orthographic modifications. It serves as a baseline to compare with the 2017 edition, enabling researchers to highlight and study changes in Tiv grammar and vocabulary over time. This dataset facilitates longitudinal linguistic analysis by providing a reference point for identifying and examining linguistic evolution.		not a dataset	3	this is not a dataset	Written	Linguistic Analysis
8671	Sindhi Corpus	cited_context	multi-domain NH, ST, FN tweet corpus		https://aclanthology.org/2021.wassa-1.20/ (2021)	The multi-domain NH, ST, FN tweet corpus is used for sentiment subjectivity analysis (SSA). It is annotated using Doccano and evaluated with machine learning models such as SVM, LSTM, BiLSTM, and CNN. This dataset enables researchers to analyze and classify tweets based on their sentiment and subjectivity across various domains, providing insights into public opinion and emotional content in social media data.	https://github.com/AliWazir/SdSenti-lexicon	not found	0	404	Written	Sentiment Analysis
